siteID	catchment	year	occurrence	LC	5mMrf	5mTrf
B1	Mudgeeraba	2013	0	0.712850159	161.74	808.7
B2	Mudgeeraba	2013	0	0.41600796	161.74	808.7
Co10	Coomera	2013	0	0.094324193	210.8	1054
Co11	Coomera	2013	0	0.09448783	210.8	1054
Co12	Coomera	2013	1	0.090940134	210.8	1054
Co14	Coomera	2013	0	0.081793344	210.8	1054
Co15	Coomera	2013	1	0.064584594	210.8	1054
Co3	Coomera	2013	1	0.212846782	210.8	1054
Co4	Coomera	2013	1	0.20782355	210.8	1054
Cu10	Currumbin	2013	1	0.199879335	200.3	1001.5
Cu11	Currumbin	2013	1	0.183324297	200.3	1001.5
Cu5	Currumbin	2013	0	0.306361844	200.3	1001.5
Cu7	Currumbin	2013	1	0.283465256	200.3	1001.5
Cu8	Currumbin	2013	0	0.262912899	200.3	1001.5
M2	Mudgeeraba	2013	0	0.429880647	161.74	808.7
M4	Mudgeeraba	2013	0	0.388739436	161.74	808.7
M6	Mudgeeraba	2013	0	0.316763998	161.74	808.7
M7	Mudgeeraba	2013	0	0.217413197	161.74	808.7
M8	Mudgeeraba	2013	0	0.187357081	161.74	808.7
M9	Mudgeeraba	2013	0	0.162616948	161.74	808.7
A1	Albert	2019	1	0.1188679	79	395
A10	Albert	2019	0	0.399901356	79	395
A11	Albert	2019	0	0.09394377	79	395
A2	Albert	2019	1	0.119047693	79	395
A3	Albert	2019	1	0.119642191	79	395
A6	Albert	2019	0	0.116823641	79	395
A7	Albert	2019	0	0.11721216	79	395
A8	Albert	2019	0	0.117236886	79	395
A9	Albert	2019	0	0.598187312	79	395
B1	Mudgeeraba	2019	0	0.671257521	89.18	445.9
B2	Mudgeeraba	2019	0	0.413408961	89.18	445.9
B3	Mudgeeraba	2019	1	0.439723802	89.18	445.9
Co10	Coomera	2019	0	0.096291251	114.4	572
Co11	Coomera	2019	0	0.096660759	114.4	572
Co12	Coomera	2019	1	0.093124308	114.4	572
Co14	Coomera	2019	1	0.084005716	114.4	572
Co15	Coomera	2019	0	0.066010441	114.4	572
Co16	Coomera	2019	0	0.061159677	114.4	572
Co2	Coomera	2019	0	0.224148015	114.4	572
Co3	Coomera	2019	1	0.214777919	114.4	572
Co4	Coomera	2019	1	0.20977425	114.4	572
Co7	Coomera	2019	1	0.129088739	114.4	572
Cu1	Currumbin	2019	0	0.337070649	125.68	628.4
Cu10	Currumbin	2019	1	0.195656686	125.68	628.4
Cu11	Currumbin	2019	1	0.178782559	125.68	628.4
Cu12	Currumbin	2019	0	0.161779729	125.68	628.4
Cu2	Currumbin	2019	1	0.333415362	125.68	628.4
Cu3	Currumbin	2019	1	0.324272313	125.68	628.4
Cu4	Currumbin	2019	0	0.314263809	125.68	628.4
Cu5	Currumbin	2019	1	0.303823519	125.68	628.4
Cu6	Currumbin	2019	1	0.29883623	125.68	628.4
Cu7	Currumbin	2019	0	0.279873507	125.68	628.4
Cu8	Currumbin	2019	0	0.259156051	125.68	628.4
Cu9	Currumbin	2019	0	0.22742254	125.68	628.4
M10	Mudgeeraba	2019	0	0.128874034	89.18	445.9
M13	Mudgeeraba	2019	0	0.034280048	89.18	445.9
M2	Mudgeeraba	2019	0	0.401983749	89.18	445.9
M3	Mudgeeraba	2019	0	0.402986875	89.18	445.9
M4	Mudgeeraba	2019	0	0.39081983	89.18	445.9
M5	Mudgeeraba	2019	1	0.334345611	89.18	445.9
M6	Mudgeeraba	2019	0	0.320764813	89.18	445.9
M7	Mudgeeraba	2019	1	0.222032657	89.18	445.9
M8	Mudgeeraba	2019	0	0.192256597	89.18	445.9
M9	Mudgeeraba	2019	1	0.16790937	89.18	445.9
N1	Nerang	2019	1	0.036666272	56.5	282.5
N10	Nerang	2019	1	0.051644195	56.5	282.5
N11	Nerang	2019	1	0.052968881	56.5	282.5
N12	Nerang	2019	1	0.043179468	56.5	282.5
N2	Nerang	2019	1	0.037175515	56.5	282.5
N3	Nerang	2019	1	0.037515873	56.5	282.5
N4	Nerang	2019	1	0.038039667	56.5	282.5
N5	Nerang	2019	1	0.037752775	56.5	282.5
N6	Nerang	2019	1	0.038670042	56.5	282.5
N8	Nerang	2019	1	0.048332526	56.5	282.5
N9	Nerang	2019	1	0.055303827	56.5	282.5
A1	Albert	2023	0	0.1188679	57.8	289
A10	Albert	2023	0	0.399901356	57.8	289
A11	Albert	2023	0	0.09394377	57.8	289
A2	Albert	2023	0	0.119047693	57.8	289
