catchment	siteID	siteName	coordinates	_count	_sum	_mean	_stdev
albert	A1	785 beaudesert beenleigh	" -27.784928, 153.187949"	764876	248192.433	0.32448715	0.068083684
albert	A10	cc conservation park	" -27.846727, 153.190550"	23521	8507.007145	0.361677103	0.068914278
albert	A11	woodstock	" -27.854393, 153.143062"	666523	216529.557	0.324864344	0.065753154
albert	A2	halls rd	" -27.789594, 153.183816"	763718	247837.1185	0.324513915	0.067986639
albert	A3	luscombe bridge	" -27.796732, 153.177114"	759086	246373.2419	0.324565651	0.067935691
albert	A4	weir	" -27.799516, 153.169967"	758079	246096.2756	0.324631438	0.067817327
albert	A5	veivers rd	" -27.803763, 153.169672"	757642	245950.3321	0.324626053	0.067763358
albert	A6	barakula ct	" -27.821892, 153.182124"	737592	239530.0796	0.324746038	0.067489404
albert	A7	chardon bridge park	" -27.824121, 153.180304"	734677	238688.9481	0.324889643	0.067374163
albert	A8	chardon bridge	" -27.826003, 153.178540"	734517	238632.2226	0.324883185	0.06734005
albert	A9	rodborogh park	" -27.840339, 153.180041"	25324	9056.544897	0.357626951	0.076379306
mudgeeraba	B1	bonogin creek	" -28.099581, 153.361479"	30660	10764.701	0.351099185	0.074275591
mudgeeraba	B2	hardys road south	" -28.112013, 153.364059"	29220	10289.26679	0.352130965	0.070016367
mudgeeraba	B3	davenport park	" -28.137812, 153.346572"	13525	4898.760502	0.362200407	0.074184054
coomera	Co1	oxenford weir	" -27.897868, 153.292681"	323911	118969.8509	0.36729179	0.089870149
coomera	Co10	guanaba creek rd bridge	" -27.949736, 153.267125"	230292	85130.11525	0.369661626	0.084457928
coomera	Co11	heritage dr pond	" -27.967892, 153.246838"	208470	77804.53696	0.373216947	0.084103394
coomera	Co12	heritage dr	" -27.971378, 153.252412"	207395	77441.0544	0.37339885	0.083878291
coomera	Co13	rivermill	" -27.974586, 153.249785"	206645	77196.5939	0.373571071	0.083629825
coomera	Co14	henry roberts dr	" -27.980143, 153.249727"	204751	76527.11703	0.373756988	0.08331974
coomera	Co15	causeway	" -27.988721, 153.244628"	189757	70995.71846	0.374140182	0.08332695
coomera	Co16	mango tree park	" -27.991495, 153.239899"	187460	70198.99604	0.374474533	0.083070517
coomera	Co2	charlies crossing	" -27.906264, 153.289520"	322836	118498.1844	0.367053812	0.087864368
coomera	Co3	killarney court	" -27.911482, 153.280777"	313819	115466.7447	0.367940579	0.084374159
coomera	Co4	riverstone crossing	" -27.916473, 153.278242"	310670	114402.3636	0.368244	0.083095361
coomera	Co5	fig court	" -27.917398, 153.269051"	310037	114131.7754	0.36812308	0.082604164
coomera	Co6	riverwood	" -27.934628, 153.265651"	264558	98093.95698	0.370784316	0.083697375
coomera	Co7	birds road causeway	" -27.937561, 153.263089"	232745	86032.6778	0.369643506	0.085257988
coomera	Co8	guanaba fire brigade	" -27.938301, 153.251342"	29088	11091.02797	0.381292216	0.068807579
coomera	Co9	eastement stewart rd	" -27.960900, 153.254139"	215340	80273.8648	0.372777305	0.083905041
currumbin	Cu1	ecovillage	" -28.178092, 153.432461"	32963	13509.16568	0.409828161	0.069466411
currumbin	Cu10	boyds bridge	" -28.213702, 153.387277"	17938	7495.522748	0.417857216	0.059778555
currumbin	Cu11	cottages	" -28.218426, 153.378464"	16815	7025.455584	0.417808836	0.058684291
currumbin	Cu12	cottages causeway	" -28.218200, 153.381898"	15560	6515.661462	0.41874431	0.059005056
currumbin	Cu2	nicholls crossing	" -28.178666, 153.423762"	31708	13041.34211	0.411295008	0.067678902
currumbin	Cu3	birds garden	" -28.180145, 153.419330"	30891	12724.51242	0.411916494	0.066510797
currumbin	Cu4	ccr	" -28.183509, 153.416791"	30282	12468.15785	0.411734953	0.066080525
currumbin	Cu5	Tomewin	" -28.185439, 153.416468"	29725	12231.83269	0.411499838	0.066057475
currumbin	Cu6	Craigs Crossing	" -28.187920, 153.413830"	28264	11640.73526	0.411857319	0.06573439
