siteID	catchment	year	occurrence	ndvi	ndvi_dev	ndbi	ndbi_dev
A1	Albert	2023	0	0.312987912	0.112709928	-0.114579991	0.146202546
A6	Albert	2023	0	0.297876229	0.101066906	-0.102301109	0.129913236
A10	Albert	2023	0	0.359674603	0.080015499	-0.163048528	0.102685926
A8	Albert	2023	0	0.308689241	0.116703936	-0.102173657	0.151121948
A7	Albert	2023	0	0.311065779	0.12141911	-0.104965232	0.157924981
A2	Albert	2023	0	0.30665375	0.110101157	-0.109119823	0.138186763
A3	Albert	2023	0	0.312829951	0.144394243	-0.119268686	0.177547127
A9	Albert	2023	0	0.304629856	0.129593287	-0.121594015	0.144925228
A5	Albert	2023	0	0.313182819	0.121880883	-0.105840635	0.156202842
A4	Albert	2023	0	0.32174843	0.141401384	-0.119228072	0.180343441
A11	Albert	2023	0	0.324650355	0.115606612	-0.10983277	0.149059731
Co7	Coomera	2023	1	0.370958507	0.149551446	-0.173181946	0.189224679
Co15	Coomera	2023	0	0.351909587	0.108835934	-0.193444968	0.089513387
Co2	Coomera	2023	0	0.370734792	0.241462959	-0.217189496	0.289761289
Co9	Coomera	2023	0	0.341448772	0.114686365	-0.14745289	0.141939455
Co5	Coomera	2023	0	0.355669289	0.131254851	-0.155476627	0.166308145
Co10	Coomera	2023	0	0.356875988	0.12841199	-0.154425169	0.158453903
Co8	Coomera	2023	1	0.343123949	0.081035665	-0.149895388	0.102372284
Co14	Coomera	2023	1	0.352828743	0.148332512	-0.177413558	0.177510145
Co12	Coomera	2023	0	0.344377163	0.133573651	-0.167598347	0.161892263
Co11	Coomera	2023	1	0.340441244	0.130251257	-0.165420268	0.157983486
Co3	Coomera	2023	0	0.37074455	0.184952367	-0.183341101	0.22839899
Co16	Coomera	2023	0	0.354558918	0.101967834	-0.192120668	0.120334436
Co1	Coomera	2023	NA	0.423094957	0.321329373	-0.306767871	0.376510359
Co13	Coomera	2023	0	0.35709147	0.120879568	-0.174158499	0.148326133
Co4	Coomera	2023	1	0.379897003	0.18555014	-0.182318692	0.236246908
Co6	Coomera	2023	1	0.358336862	0.123733346	-0.157740601	0.156872346
Cu9	Currumbin	2023	1	0.409906836	0.070529421	-0.24407062	0.083676118
Cu3	Currumbin	2023	1	0.414768624	0.081906007	-0.253211724	0.098366251
Cu10	Currumbin	2023	1	0.411106913	0.074306199	-0.24762731	0.089502982
Cu4	Currumbin	2023	NA	0.403423863	0.079276329	-0.243507226	0.094660902
Cu11	Currumbin	2023	1	0.408706095	0.072295453	-0.250737796	0.084995217
Cu12	Currumbin	2023	0	0.406915545	0.069515489	-0.250532545	0.081894404
Cu6	Currumbin	2023	1	0.401933934	0.079889573	-0.232963564	0.096502716
Cu1	Currumbin	2023	0	0.384345856	0.099111386	-0.216596851	0.123947784
Cu7	Currumbin	2023	0	0.40175636	0.073915022	-0.233099953	0.090244708
Cu2	Currumbin	2023	1	0.411137108	0.092304876	-0.250043569	0.112099232
Cu8	Currumbin	2023	0	0.40681846	0.071999868	-0.241167382	0.087269844
Cu5	Currumbin	2023	1	0.401080557	0.083376606	-0.237148316	0.100437791
M11	Mudgeeraba	2023	1	0.388306226	0.090165751	-0.214214689	0.110643144
M12	Mudgeeraba	2023	NA	0.389259218	0.081811433	-0.234492059	0.102355865
M8	Mudgeeraba	2023	0	0.35406044	0.083064481	-0.191050158	0.099175118
M4	Mudgeeraba	2023	1	0.339824749	0.11176996	-0.163822263	0.139093721
B1	Mudgeeraba	2023	0	0.332600599	0.134669069	-0.16130637	0.162446707
M3	Mudgeeraba	2023	1	0.337867448	0.116198997	-0.154236865	0.142418544
M7	Mudgeeraba	2023	1	0.356617588	0.074809934	-0.183722866	0.130659697
M13	Mudgeeraba	2023	0	0.406411936	0.066826238	-0.259058901	0.073422563
B3	Mudgeeraba	2023	1	0.338903561	0.082231739	-0.175605972	0.099219232
M2	Mudgeeraba	2023	0	0.327878613	0.125417516	-0.145047952	0.151588176
B2	Mudgeeraba	2023	0	0.322247285	0.098336425	-0.150212916	0.118428293
M5	Mudgeeraba	2023	0	0.345385874	0.094056197	-0.164496194	0.116739166
M6	Mudgeeraba	2023	1	0.345926731	0.09817568	-0.168102693	0.120225894
M9	Mudgeeraba	2023	1	0.352114519	0.086324806	-0.194215559	0.102814473
M1	Mudgeeraba	2023	1	0.35453229	0.145855837	-0.167726802	0.175868521
M10	Mudgeeraba	2023	1	0.363632746	0.105279765	-0.193338704	0.129476622
N4	Nerang	2023	1	0.372468257	0.092279076	-0.185950081	0.114299826
N10	Nerang	2023	1	0.42228708	0.091096259	-0.245609531	0.113000293
N3	Nerang	2023	0	0.363388573	0.102083294	-0.191309522	0.124924803
N12	Nerang	2023	0	0.436682486	0.095911646	-0.266218572	0.118585513
N2	Nerang	2023	0	0.365314828	0.123794349	-0.202860385	0.153663519
N5	Nerang	2023	1	0.382211118	0.092921673	-0.18765689	0.117987908
N6	Nerang	2023	1	0.379529293	0.090659789	-0.18291309	0.114219457
N9	Nerang	2023	1	0.391799829	0.111636418	-0.222760235	0.139780131
N11	Nerang	2023	1	0.426169409	0.107623656	-0.254048905	0.136100942
N1	Nerang	2023	1	0.356470921	0.132446417	-0.208955275	0.160434946
N7	Nerang	2023	0	0.389734425	0.098405823	-0.193610972	0.127863247
N8	Nerang	2023	1	0.380264873	0.084503065	-0.21356543	0.106006151
A1	Albert	2022	0	0.354277354	0.109996353	-0.187852256	0.129431366
A6	Albert	2022	0	0.328461955	0.099399199	-0.166170247	0.115917683
A10	Albert	2022	0	0.360694183	0.08025405	-0.186325537	0.097155687
A8	Albert	2022	0	0.338853264	0.113541528	-0.169659731	0.136913841
A7	Albert	2022	0	0.338159228	0.118285547	-0.169136556	0.142618271
A2	Albert	2022	1	0.342875086	0.108863672	-0.176860786	0.124236174
A3	Albert	2022	0	0.337827381	0.140223354	-0.174025555	0.162951173
A9	Albert	2022	1	0.319985044	0.127195541	-0.164921854	0.138366313
A5	Albert	2022	0	0.347167329	0.115020778	-0.175518813	0.138407371
A4	Albert	2022	0	0.34967356	0.134807558	-0.180420658	0.1617526
A11	Albert	2022	NA	0.316738888	0.124013117	-0.133005448	0.145272975
Co7	Coomera	2022	0	0.374871735	0.145386336	-0.200753717	0.179502223
Co15	Coomera	2022	0	0.360796769	0.078532714	-0.2152646	0.084220748
Co2	Coomera	2022	0	0.375443945	0.24281678	-0.241233145	0.281432186
Co9	Coomera	2022	NA	0.357401755	0.113601373	-0.194172962	0.134468226
Co5	Coomera	2022	1	0.37116097	0.127920231	-0.191514932	0.154909064
Co10	Coomera	2022	1	0.357792014	0.123059559	-0.181280991	0.148602086
Co8	Coomera	2022	0	0.353885404	0.079291825	-0.185628215	0.094665577
Co14	Coomera	2022	0	0.357576097	0.150040078	-0.207050223	0.172444124
Co12	Coomera	2022	1	0.353095487	0.13377424	-0.204287739	0.154824752
Co11	Coomera	2022	1	0.359851022	0.129975031	-0.213216786	0.149194655
Co3	Coomera	2022	1	0.373179384	0.183606938	-0.202241598	0.22138207
Co16	Coomera	2022	0	0.355636254	0.106665496	-0.21535387	0.11477735
Co1	Coomera	2022	1	0.435411545	0.320614317	-0.336387319	0.36240534
Co13	Coomera	2022	1	0.371782997	0.122545446	-0.213440508	0.142055757
Co4	Coomera	2022	1	0.387334281	0.177670144	-0.206216187	0.220914749
Co6	Coomera	2022	1	0.362826363	0.122167524	-0.186774711	0.149734255
Cu9	Currumbin	2022	1	0.395223081	0.074850781	-0.240477199	0.079791737
Cu3	Currumbin	2022	1	0.395920653	0.087124604	-0.246203778	0.099324381
Cu10	Currumbin	2022	1	0.397723426	0.079057163	-0.243934074	0.085427263
Cu4	Currumbin	2022	0	0.385226465	0.085750613	-0.236688195	0.095313344
Cu11	Currumbin	2022	1	0.382017576	0.083374053	-0.234512672	0.08381091
Cu12	Currumbin	2022	0	0.388336564	0.078365365	-0.240002943	0.080578457
Cu6	Currumbin	2022	1	0.380361802	0.08981688	-0.224317819	0.099288621
Cu1	Currumbin	2022	1	0.37871848	0.099115474	-0.224112769	0.119707684
Cu7	Currumbin	2022	0	0.386108268	0.07614208	-0.231615252	0.084169299
Cu2	Currumbin	2022	1	0.390769185	0.096064315	-0.243651417	0.109400707
Cu8	Currumbin	2022	0	0.392901051	0.076098207	-0.238664444	0.083047335
Cu5	Currumbin	2022	1	0.380642404	0.090453468	-0.228438408	0.10320008
M11	Mudgeeraba	2022	1	0.391700495	0.092797765	-0.232390423	0.107817675
M12	Mudgeeraba	2022	0	0.388557636	0.080423405	-0.243021516	0.091500859
