siteID	catchment	year	occurrence	ndvi	ndvi_dev	ndbi	ndbi_dev	LC
A1	Albert	2013	NA	0.337674609	0.07448307	-0.162279296	0.073029603	11.8170451
A10	Albert	2013	NA	0.370206346	0.074951727	-0.216561619	0.074266592	39.99013948
A11	Albert	2013	NA	0.335853592	0.072938319	-0.158330743	0.069297803	9.314342026
A2	Albert	2013	NA	0.337636668	0.074421345	-0.162226488	0.072915319	11.83491884
A3	Albert	2013	NA	0.337541494	0.074400671	-0.162099635	0.072823707	11.89394281
A4	Albert	2013	NA	0.337532317	0.07434276	-0.162069393	0.072736552	11.53424363
A5	Albert	2013	NA	0.337516968	0.074297611	-0.162047649	0.07265667	11.54097183
A6	Albert	2013	NA	0.337027787	0.073710652	-0.161193465	0.071905217	11.61003808
A7	Albert	2013	NA	0.337062198	0.07364785	-0.161157136	0.071790758	11.64860299
A8	Albert	2013	NA	0.337052937	0.073619722	-0.161142047	0.071739975	11.6510603
A9	Albert	2013	NA	0.367251251	0.080585864	-0.213771552	0.081210653	59.81873169
B1	Mudgeeraba	2013	0	0.364129503	0.080630591	-0.217632536	0.084572434	71.2850159
B2	Mudgeeraba	2013	0	0.364818309	0.077650906	-0.218659151	0.079892234	41.600796
B3	Mudgeeraba	2013	NA	0.369835102	0.082864755	-0.225328711	0.086333245	44.58893871
Co1	Coomera	2013	NA	0.372194977	0.097932506	-0.217082194	0.101552208	23.67072265
Co10	Coomera	2013	0	0.372856711	0.094528341	-0.218355422	0.095122863	9.432419251
Co11	Coomera	2013	0	0.374154426	0.09554487	-0.220716804	0.095217967	9.448782967
Co12	Coomera	2013	1	0.37417644	0.095438558	-0.220746719	0.094981568	9.094013371
Co13	Coomera	2013	NA	0.37434371	0.09527473	-0.220921983	0.094709936	8.845877545
Co14	Coomera	2013	0	0.374312347	0.095033823	-0.220893576	0.094305534	8.179334423
Co15	Coomera	2013	1	0.373904654	0.095623634	-0.220563864	0.094435369	6.458459428
Co16	Coomera	2013	NA	0.373703215	0.095527017	-0.22046797	0.094149271	5.97163574
Co2	Coomera	2013	NA	0.371934525	0.096140655	-0.216625812	0.099102283	22.17449208
Co3	Coomera	2013	1	0.372133582	0.093321867	-0.216629778	0.095142043	21.28467823
Co4	Coomera	2013	1	0.372277258	0.092335762	-0.216882685	0.093524003	20.78235504
Co5	Coomera	2013	NA	0.372153246	0.091878388	-0.216798912	0.092843851	20.75467468
Co6	Coomera	2013	NA	0.373641728	0.093293545	-0.21857359	0.094202712	16.51097805
Co7	Coomera	2013	NA	0.372884568	0.095055682	-0.218121917	0.096249413	12.71423962
Co8	Coomera	2013	NA	0.380666017	0.078097393	-0.224672223	0.074703288	40.53831634
Co9	Coomera	2013	NA	0.374408796	0.095168224	-0.220490674	0.095138948	12.83696861
Cu1	Currumbin	2013	NA	0.380869467	0.086908184	-0.226373316	0.084285963	33.94575166
Cu10	Currumbin	2013	1	0.384195804	0.085109442	-0.232224639	0.071696975	19.98793352
Cu11	Currumbin	2013	1	0.38319445	0.085453561	-0.232264361	0.070348025	18.33242973
Cu12	Currumbin	2013	NA	0.383021958	0.086814182	-0.231948428	0.071149498	16.66583416
Cu2	Currumbin	2013	NA	0.381185232	0.086137443	-0.227336731	0.082146421	33.60149494
Cu3	Currumbin	2013	NA	0.381819738	0.085412392	-0.227630002	0.080943517	32.68323925
Cu4	Currumbin	2013	NA	0.381497204	0.085163934	-0.227295559	0.080384735	31.67585179
Cu5	Currumbin	2013	0	0.381304541	0.085154485	-0.227059359	0.080268458	30.63618437
Cu6	Currumbin	2013	NA	0.381151002	0.085374486	-0.226872018	0.079719184	29.88362303
Cu7	Currumbin	2013	1	0.38296604	0.084071493	-0.229536129	0.074782579	28.3465256
Cu8	Currumbin	2013	0	0.383848304	0.084075545	-0.230841316	0.073722998	26.2912899
Cu9	Currumbin	2013	NA	0.384007621	0.084554597	-0.231290042	0.073057955	23.13807332
M1	Mudgeeraba	2013	NA	NA	NA	NA	NA	51.16308307
M10	Mudgeeraba	2013	NA	0.391738175	0.085148333	-0.246130536	0.090323292	12.28530354
M11	Mudgeeraba	2013	NA	0.395558209	0.08367464	-0.250642386	0.08698555	5.100670271
M12	Mudgeeraba	2013	NA	0.398638582	0.081667278	-0.259391729	0.078587203	2.677878161
M13	Mudgeeraba	2013	NA	0.397929176	0.079867606	-0.259988469	0.073446128	2.963820726
M2	Mudgeeraba	2013	0	0.377086181	0.088451604	-0.227913001	0.096941039	42.98806473
M3	Mudgeeraba	2013	NA	0.37756882	0.087853552	-0.228496629	0.096132279	42.64539981
